experiment_id,customer_id,campaign_type,experiment_date,eligible,treatment_group,campaign_exposed,baseline_30d_purchase_probability,synthetic_incremental_lift_assumption,purchase_7d,revenue_7d,purchase_14d,revenue_14d,purchase_30d,revenue_30d,synthetic_campaign_cost
EXP_FESTIVAL,C0005,Festival,2026-08-01,1,control,0,0.6479,0.0422,0,0.0,0,0.0,0,0.0,0.0
EXP_LOYALTY,C0005,Loyalty,2026-08-01,1,treatment,1,0.6479,0.0515,1,474.09,1,892.92,1,1412.16,16.0
EXP_NEW_PRODUCT,C0005,New Product,2026-08-01,1,treatment,1,0.6479,0.0609,1,476.98,1,646.5,1,858.1,23.0
EXP_WIN-BACK,C0005,Win-back,2026-08-01,1,treatment,1,0.6479,0.0703,0,0.0,0,0.0,1,1037.81,31.0
EXP_BIRTHDAY,C0006,Birthday,2026-08-01,1,treatment,1,0.7139,0.0239,0,0.0,1,1142.91,1,2326.0,20.25
EXP_DISCOUNT,C0006,Discount,2026-08-01,1,control,0,0.7139,0.0335,0,0.0,0,0.0,1,1066.15,0.0
EXP_FESTIVAL,C0006,Festival,2026-08-01,1,control,0,0.7139,0.043,0,0.0,0,0.0,1,2281.06,0.0
EXP_LOYALTY,C0006,Loyalty,2026-08-01,1,treatment,1,0.7139,0.0526,0,0.0,0,0.0,1,1269.05,16.0
EXP_NEW_PRODUCT,C0006,New Product,2026-08-01,1,treatment,1,0.7139,0.0622,1,471.45,1,1027.93,1,1643.21,23.0
EXP_WIN-BACK,C0006,Win-back,2026-08-01,1,control,0,0.7139,0.0717,0,0.0,0,0.0,0,0.0,0.0
EXP_BIRTHDAY,C0007,Birthday,2026-08-01,1,treatment,1,0.4326,0.0215,0,0.0,0,0.0,0,0.0,20.25
EXP_DISCOUNT,C0007,Discount,2026-08-01,1,treatment,1,0.4326,0.0301,0,0.0,0,0.0,0,0.0,23.25
EXP_FESTIVAL,C0007,Festival,2026-08-01,1,treatment,1,0.4326,0.0386,0,0.0,0,0.0,0,0.0,29.0
EXP_LOYALTY,C0007,Loyalty,2026-08-01,1,control,0,0.4326,0.0472,0,0.0,0,0.0,0,0.0,0.0
EXP_NEW_PRODUCT,C0007,New Product,2026-08-01,1,treatment,1,0.4326,0.0558,0,0.0,0,0.0,0,0.0,23.0
EXP_WIN-BACK,C0007,Win-back,2026-08-01,1,treatment,1,0.4326,0.0644,0,0.0,1,711.68,1,920.31,31.0
EXP_BIRTHDAY,C0008,Birthday,2026-08-01,1,treatment,1,0.3856,0.021,0,0.0,0,0.0,0,0.0,20.25
EXP_DISCOUNT,C0008,Discount,2026-08-01,1,treatment,1,0.3856,0.0294,0,0.0,0,0.0,0,0.0,23.25
EXP_FESTIVAL,C0008,Festival,2026-08-01,1,treatment,1,0.3856,0.0378,0,0.0,0,0.0,0,0.0,29.0
EXP_LOYALTY,C0008,Loyalty,2026-08-01,1,treatment,1,0.3856,0.0462,0,0.0,0,0.0,1,1102.46,16.0
EXP_NEW_PRODUCT,C0008,New Product,2026-08-01,1,control,0,0.3856,0.0546,0,0.0,0,0.0,0,0.0,0.0
EXP_WIN-BACK,C0008,Win-back,2026-08-01,1,control,0,0.3856,0.0631,0,0.0,0,0.0,0,0.0,0.0
EXP_BIRTHDAY,C0009,Birthday,2026-08-01,1,treatment,1,0.5492,0.0226,0,0.0,0,0.0,0,0.0,20.25
EXP_DISCOUNT,C0009,Discount,2026-08-01,1,control,0,0.5492,0.0316,1,1367.53,1,1658.17,1,2987.77,0.0
EXP_FESTIVAL,C0009,Festival,2026-08-01,1,treatment,1,0.5492,0.0406,0,0.0,1,868.99,1,1259.86,29.0
EXP_LOYALTY,C0009,Loyalty,2026-08-01,1,control,0,0.5492,0.0497,1,1090.61,1,1677.1,1,1999.57,0.0
EXP_NEW_PRODUCT,C0009,New Product,2026-08-01,1,treatment,1,0.5492,0.0587,1,560.73,1,1124.31,1,1559.24,23.0
EXP_WIN-BACK,C0009,Win-back,2026-08-01,1,control,0,0.5492,0.0677,0,0.0,0,0.0,0,0.0,0.0
EXP_BIRTHDAY,C0010,Birthday,2026-08-01,1,control,0,0.2288,0.0197,0,0.0,0,0.0,1,302.76,0.0
EXP_DISCOUNT,C0010,Discount,2026-08-01,1,treatment,1,0.2288,0.0276,0,0.0,1,306.29,1,474.55,23.25
EXP_FESTIVAL,C0010,Festival,2026-08-01,1,control,0,0.2288,0.0355,0,0.0,0,0.0,0,0.0,0.0
EXP_LOYALTY,C0010,Loyalty,2026-08-01,1,treatment,1,0.2288,0.0433,0,0.0,0,0.0,0,0.0,16.0
EXP_NEW_PRODUCT,C0010,New Product,2026-08-01,1,treatment,1,0.2288,0.0512,0,0.0,0,0.0,0,0.0,23.0
EXP_WIN-BACK,C0010,Win-back,2026-08-01,1,control,0,0.2288,0.0591,1,350.94,1,509.78,1,609.43,0.0
EXP_BIRTHDAY,C0011,Birthday,2026-08-01,1,control,0,0.5346,0.0224,0,0.0,0,0.0,0,0.0,0.0
EXP_DISCOUNT,C0011,Discount,2026-08-01,1,treatment,1,0.5346,0.0314,0,0.0,0,0.0,0,0.0,23.25
EXP_FESTIVAL,C0011,Festival,2026-08-01,1,treatment,1,0.5346,0.0404,0,0.0,0,0.0,1,285.45,29.0
EXP_LOYALTY,C0011,Loyalty,2026-08-01,1,control,0,0.5346,0.0494,0,0.0,0,0.0,0,0.0,0.0
EXP_NEW_PRODUCT,C0011,New Product,2026-08-01,1,control,0,0.5346,0.0584,0,0.0,0,0.0,0,0.0,0.0
EXP_WIN-BACK,C0011,Win-back,2026-08-01,1,treatment,1,0.5346,0.0673,0,0.0,0,0.0,1,340.15,31.0
EXP_BIRTHDAY,C0012,Birthday,2026-08-01,1,treatment,1,0.3037,0.0203,1,144.11,1,292.84,1,377.06,20.25
EXP_DISCOUNT,C0012,Discount,2026-08-01,1,treatment,1,0.3037,0.0284,0,0.0,0,0.0,0,0.0,23.25
EXP_FESTIVAL,C0012,Festival,2026-08-01,1,treatment,1,0.3037,0.0365,0,0.0,0,0.0,0,0.0,29.0
EXP_LOYALTY,C0012,Loyalty,2026-08-01,1,treatment,1,0.3037,0.0446,0,0.0,1,266.71,1,521.49,16.0
EXP_NEW_PRODUCT,C0012,New Product,2026-08-01,1,treatment,1,0.3037,0.0527,1,221.86,1,323.2,1,685.69,23.0
EXP_WIN-BACK,C0012,Win-back,2026-08-01,1,control,0,0.3037,0.0609,0,0.0,0,0.0,0,0.0,0.0
EXP_BIRTHDAY,C0013,Birthday,2026-08-01,1,treatment,1,0.67,0.0236,0,0.0,0,0.0,1,1607.77,20.25
EXP_DISCOUNT,C0013,Discount,2026-08-01,1,treatment,1,0.67,0.033,1,819.62,1,1744.98,1,2830.44,23.25
EXP_FESTIVAL,C0013,Festival,2026-08-01,1,treatment,1,0.67,0.0425,1,919.94,1,1121.96,1,2383.18,29.0
EXP_LOYALTY,C0013,Loyalty,2026-08-01,1,treatment,1,0.67,0.0519,0,0.0,0,0.0,0,0.0,16.0
EXP_NEW_PRODUCT,C0013,New Product,2026-08-01,1,control,0,0.67,0.0614,0,0.0,0,0.0,0,0.0,0.0
EXP_WIN-BACK,C0013,Win-back,2026-08-01,1,control,0,0.67,0.0708,0,0.0,0,0.0,0,0.0,0.0
EXP_BIRTHDAY,C0014,Birthday,2026-08-01,1,control,0,0.5483,0.0226,0,0.0,0,0.0,0,0.0,0.0
EXP_DISCOUNT,C0014,Discount,2026-08-01,1,treatment,1,0.5483,0.0316,0,0.0,0,0.0,1,291.0,23.25
EXP_FESTIVAL,C0014,Festival,2026-08-01,1,treatment,1,0.5483,0.0406,0,0.0,0,0.0,0,0.0,29.0
EXP_LOYALTY,C0014,Loyalty,2026-08-01,1,treatment,1,0.5483,0.0497,0,0.0,1,1199.65,1,2009.45,16.0
EXP_NEW_PRODUCT,C0014,New Product,2026-08-01,1,treatment,1,0.5483,0.0587,1,271.33,1,327.08,1,575.08,23.0
EXP_WIN-BACK,C0014,Win-back,2026-08-01,1,control,0,0.5483,0.0677,1,631.7,1,888.42,1,1125.4,0.0
EXP_BIRTHDAY,C0015,Birthday,2026-08-01,1,control,0,0.5007,0.0221,0,0.0,0,0.0,0,0.0,0.0
EXP_DISCOUNT,C0015,Discount,2026-08-01,1,control,0,0.5007,0.031,0,0.0,1,1216.53,1,1531.6,0.0
EXP_FESTIVAL,C0015,Festival,2026-08-01,1,treatment,1,0.5007,0.0398,0,0.0,0,0.0,0,0.0,29.0
EXP_LOYALTY,C0015,Loyalty,2026-08-01,1,treatment,1,0.5007,0.0487,0,0.0,0,0.0,0,0.0,16.0
EXP_NEW_PRODUCT,C0015,New Product,2026-08-01,1,treatment,1,0.5007,0.0575,0,0.0,0,0.0,0,0.0,23.0
EXP_WIN-BACK,C0015,Win-back,2026-08-01,1,treatment,1,0.5007,0.0664,0,0.0,0,0.0,0,0.0,31.0
EXP_BIRTHDAY,C0016,Birthday,2026-08-01,1,control,0,0.5178,0.0223,0,0.0,0,0.0,0,0.0,0.0
EXP_DISCOUNT,C0016,Discount,2026-08-01,1,control,0,0.5178,0.0312,0,0.0,0,0.0,0,0.0,0.0
EXP_FESTIVAL,C0016,Festival,2026-08-01,1,control,0,0.5178,0.0401,0,0.0,1,859.97,1,1272.18,0.0
EXP_LOYALTY,C0016,Loyalty,2026-08-01,1,control,0,0.5178,0.049,0,0.0,0,0.0,1,1331.87,0.0
EXP_NEW_PRODUCT,C0016,New Product,2026-08-01,1,treatment,1,0.5178,0.0579,0,0.0,0,0.0,0,0.0,23.0
EXP_WIN-BACK,C0016,Win-back,2026-08-01,1,control,0,0.5178,0.0669,1,945.79,1,1531.79,1,2147.94,0.0
EXP_BIRTHDAY,C0017,Birthday,2026-08-01,1,control,0,0.521,0.0223,0,0.0,0,0.0,0,0.0,0.0
EXP_DISCOUNT,C0017,Discount,2026-08-01,1,treatment,1,0.521,0.0312,0,0.0,0,0.0,0,0.0,23.25
EXP_FESTIVAL,C0017,Festival,2026-08-01,1,control,0,0.521,0.0402,1,256.43,1,503.68,1,981.74,0.0
EXP_LOYALTY,C0017,Loyalty,2026-08-01,1,control,0,0.521,0.0491,1,1130.76,1,1371.52,1,2043.39,0.0
EXP_NEW_PRODUCT,C0017,New Product,2026-08-01,1,control,0,0.521,0.058,1,1167.9,1,1406.3,1,1907.87,0.0
EXP_WIN-BACK,C0017,Win-back,2026-08-01,1,treatment,1,0.521,0.0669,0,0.0,0,0.0,0,0.0,31.0
EXP_BIRTHDAY,C0018,Birthday,2026-08-01,1,control,0,0.5587,0.0227,0,0.0,0,0.0,1,1163.55,0.0
EXP_DISCOUNT,C0018,Discount,2026-08-01,1,treatment,1,0.5587,0.0317,0,0.0,0,0.0,0,0.0,23.25
EXP_FESTIVAL,C0018,Festival,2026-08-01,1,treatment,1,0.5587,0.0408,0,0.0,1,1070.03,1,1403.28,29.0
EXP_LOYALTY,C0018,Loyalty,2026-08-01,1,treatment,1,0.5587,0.0499,0,0.0,0,0.0,0,0.0,16.0
EXP_NEW_PRODUCT,C0018,New Product,2026-08-01,1,control,0,0.5587,0.0589,0,0.0,1,573.47,1,1179.55,0.0
EXP_WIN-BACK,C0018,Win-back,2026-08-01,1,control,0,0.5587,0.068,1,411.63,1,777.71,1,1022.35,0.0
EXP_BIRTHDAY,C0019,Birthday,2026-08-01,1,control,0,0.4512,0.0216,0,0.0,0,0.0,0,0.0,0.0
EXP_DISCOUNT,C0019,Discount,2026-08-01,1,treatment,1,0.4512,0.0303,1,215.41,1,394.94,1,512.51,23.25
EXP_FESTIVAL,C0019,Festival,2026-08-01,1,control,0,0.4512,0.039,0,0.0,0,0.0,1,1373.62,0.0
EXP_LOYALTY,C0019,Loyalty,2026-08-01,1,control,0,0.4512,0.0476,0,0.0,0,0.0,0,0.0,0.0
EXP_NEW_PRODUCT,C0019,New Product,2026-08-01,1,treatment,1,0.4512,0.0563,1,631.44,1,899.48,1,1202.39,23.0
EXP_WIN-BACK,C0019,Win-back,2026-08-01,1,control,0,0.4512,0.0649,0,0.0,1,785.09,1,1069.66,0.0
EXP_BIRTHDAY,C0020,Birthday,2026-08-01,1,control,0,0.6636,0.0236,1,443.14,1,551.4,1,1180.87,0.0
EXP_DISCOUNT,C0020,Discount,2026-08-01,1,control,0,0.6636,0.033,1,791.1,1,1248.92,1,1483.26,0.0
EXP_FESTIVAL,C0020,Festival,2026-08-01,1,control,0,0.6636,0.0424,0,0.0,1,1949.58,1,3417.1,0.0
EXP_LOYALTY,C0020,Loyalty,2026-08-01,1,control,0,0.6636,0.0518,0,0.0,0,0.0,0,0.0,0.0
EXP_NEW_PRODUCT,C0020,New Product,2026-08-01,1,control,0,0.6636,0.0612,0,0.0,0,0.0,0,0.0,0.0
EXP_WIN-BACK,C0020,Win-back,2026-08-01,1,treatment,1,0.6636,0.0707,1,1137.43,1,2258.42,1,4537.84,31.0
EXP_BIRTHDAY,C0021,Birthday,2026-08-01,1,treatment,1,0.4833,0.022,0,0.0,0,0.0,1,1471.81,20.25
EXP_DISCOUNT,C0021,Discount,2026-08-01,1,treatment,1,0.4833,0.0307,1,156.94,1,337.92,1,585.84,23.25
EXP_FESTIVAL,C0021,Festival,2026-08-01,1,treatment,1,0.4833,0.0395,1,477.34,1,653.17,1,965.79,29.0
EXP_LOYALTY,C0021,Loyalty,2026-08-01,1,control,0,0.4833,0.0483,0,0.0,0,0.0,0,0.0,0.0
EXP_NEW_PRODUCT,C0021,New Product,2026-08-01,1,treatment,1,0.4833,0.0571,0,0.0,0,0.0,0,0.0,23.0
EXP_WIN-BACK,C0021,Win-back,2026-08-01,1,control,0,0.4833,0.0659,0,0.0,1,1225.96,1,1646.28,0.0
EXP_BIRTHDAY,C0022,Birthday,2026-08-01,1,control,0,0.4884,0.022,0,0.0,0,0.0,0,0.0,0.0
EXP_DISCOUNT,C0022,Discount,2026-08-01,1,control,0,0.4884,0.0308,0,0.0,0,0.0,0,0.0,0.0
EXP_FESTIVAL,C0022,Festival,2026-08-01,1,control,0,0.4884,0.0396,0,0.0,0,0.0,1,990.95,0.0
EXP_LOYALTY,C0022,Loyalty,2026-08-01,1,treatment,1,0.4884,0.0484,0,0.0,0,0.0,0,0.0,16.0
EXP_NEW_PRODUCT,C0022,New Product,2026-08-01,1,treatment,1,0.4884,0.0572,1,281.51,1,376.81,1,654.68,23.0
EXP_WIN-BACK,C0022,Win-back,2026-08-01,1,treatment,1,0.4884,0.066,0,0.0,0,0.0,0,0.0,31.0
EXP_BIRTHDAY,C0023,Birthday,2026-08-01,1,control,0,0.7381,0.0241,1,356.21,1,597.7,1,1200.51,0.0
EXP_DISCOUNT,C0023,Discount,2026-08-01,1,control,0,0.7381,0.0337,0,0.0,0,0.0,0,0.0,0.0
EXP_FESTIVAL,C0023,Festival,2026-08-01,1,control,0,0.7381,0.0433,0,0.0,0,0.0,1,1451.67,0.0
EXP_LOYALTY,C0023,Loyalty,2026-08-01,1,control,0,0.7381,0.053,1,515.84,1,998.98,1,1937.89,0.0
EXP_NEW_PRODUCT,C0023,New Product,2026-08-01,1,control,0,0.7381,0.0626,0,0.0,0,0.0,0,0.0,0.0
EXP_WIN-BACK,C0023,Win-back,2026-08-01,1,control,0,0.7381,0.0722,0,0.0,0,0.0,0,0.0,0.0
EXP_BIRTHDAY,C0024,Birthday,2026-08-01,1,control,0,0.3707,0.0209,0,0.0,1,1871.58,1,2488.36,0.0
EXP_DISCOUNT,C0024,Discount,2026-08-01,1,treatment,1,0.3707,0.0292,0,0.0,0,0.0,0,0.0,23.25
EXP_FESTIVAL,C0024,Festival,2026-08-01,1,treatment,1,0.3707,0.0376,0,0.0,1,362.24,1,639.07,29.0
EXP_LOYALTY,C0024,Loyalty,2026-08-01,1,treatment,1,0.3707,0.0459,0,0.0,0,0.0,0,0.0,16.0
EXP_NEW_PRODUCT,C0024,New Product,2026-08-01,1,treatment,1,0.3707,0.0543,1,446.01,1,628.48,1,891.41,23.0
EXP_WIN-BACK,C0024,Win-back,2026-08-01,1,control,0,0.3707,0.0626,0,0.0,0,0.0,0,0.0,0.0
EXP_BIRTHDAY,C0025,Birthday,2026-08-01,1,treatment,1,0.5962,0.023,0,0.0,1,805.01,1,1251.9,20.25
EXP_DISCOUNT,C0025,Discount,2026-08-01,1,control,0,0.5962,0.0322,0,0.0,0,0.0,0,0.0,0.0
EXP_FESTIVAL,C0025,Festival,2026-08-01,1,control,0,0.5962,0.0414,0,0.0,0,0.0,0,0.0,0.0
EXP_LOYALTY,C0025,Loyalty,2026-08-01,1,control,0,0.5962,0.0506,0,0.0,0,0.0,0,0.0,0.0
EXP_NEW_PRODUCT,C0025,New Product,2026-08-01,1,treatment,1,0.5962,0.0598,0,0.0,1,833.09,1,1019.78,23.0
EXP_WIN-BACK,C0025,Win-back,2026-08-01,1,control,0,0.5962,0.069,1,554.44,1,675.33,1,1468.34,0.0
EXP_BIRTHDAY,C0026,Birthday,2026-08-01,1,treatment,1,0.5811,0.0229,0,0.0,1,1282.18,1,1753.5,20.25
EXP_DISCOUNT,C0026,Discount,2026-08-01,1,control,0,0.5811,0.032,0,0.0,0,0.0,0,0.0,0.0
EXP_FESTIVAL,C0026,Festival,2026-08-01,1,control,0,0.5811,0.0412,0,0.0,0,0.0,1,526.89,0.0
EXP_LOYALTY,C0026,Loyalty,2026-08-01,1,control,0,0.5811,0.0503,0,0.0,0,0.0,0,0.0,0.0
EXP_NEW_PRODUCT,C0026,New Product,2026-08-01,1,control,0,0.5811,0.0595,0,0.0,1,760.83,1,1069.12,0.0
EXP_WIN-BACK,C0026,Win-back,2026-08-01,1,control,0,0.5811,0.0686,0,0.0,0,0.0,0,0.0,0.0
EXP_BIRTHDAY,C0027,Birthday,2026-08-01,1,treatment,1,0.472,0.0218,0,0.0,0,0.0,0,0.0,20.25
EXP_DISCOUNT,C0027,Discount,2026-08-01,1,control,0,0.472,0.0306,1,346.73,1,536.83,1,705.49,0.0
EXP_FESTIVAL,C0027,Festival,2026-08-01,1,control,0,0.472,0.0393,0,0.0,1,468.55,1,968.23,0.0
EXP_LOYALTY,C0027,Loyalty,2026-08-01,1,control,0,0.472,0.0481,0,0.0,0,0.0,0,0.0,0.0
EXP_NEW_PRODUCT,C0027,New Product,2026-08-01,1,control,0,0.472,0.0568,0,0.0,0,0.0,0,0.0,0.0
EXP_WIN-BACK,C0027,Win-back,2026-08-01,1,treatment,1,0.472,0.0655,1,417.43,1,567.7,1,788.34,31.0
EXP_BIRTHDAY,C0028,Birthday,2026-08-01,1,control,0,0.5286,0.0224,0,0.0,0,0.0,0,0.0,0.0
EXP_DISCOUNT,C0028,Discount,2026-08-01,1,control,0,0.5286,0.0313,0,0.0,0,0.0,0,0.0,0.0
EXP_FESTIVAL,C0028,Festival,2026-08-01,1,treatment,1,0.5286,0.0403,0,0.0,0,0.0,1,815.84,29.0
EXP_LOYALTY,C0028,Loyalty,2026-08-01,1,control,0,0.5286,0.0492,0,0.0,0,0.0,0,0.0,0.0
EXP_NEW_PRODUCT,C0028,New Product,2026-08-01,1,treatment,1,0.5286,0.0582,0,0.0,0,0.0,1,503.46,23.0
EXP_WIN-BACK,C0028,Win-back,2026-08-01,1,control,0,0.5286,0.0672,0,0.0,1,204.77,1,336.36,0.0
EXP_BIRTHDAY,C0029,Birthday,2026-08-01,1,treatment,1,0.3935,0.0211,0,0.0,0,0.0,0,0.0,20.25
EXP_DISCOUNT,C0029,Discount,2026-08-01,1,treatment,1,0.3935,0.0295,1,251.19,1,295.69,1,382.54,23.25
EXP_FESTIVAL,C0029,Festival,2026-08-01,1,treatment,1,0.3935,0.038,1,612.95,1,839.25,1,988.48,29.0
EXP_LOYALTY,C0029,Loyalty,2026-08-01,1,control,0,0.3935,0.0464,0,0.0,0,0.0,1,692.93,0.0
EXP_NEW_PRODUCT,C0029,New Product,2026-08-01,1,treatment,1,0.3935,0.0548,1,384.47,1,546.26,1,865.27,23.0
EXP_WIN-BACK,C0029,Win-back,2026-08-01,1,treatment,1,0.3935,0.0633,0,0.0,0,0.0,1,499.3,31.0
EXP_BIRTHDAY,C0030,Birthday,2026-08-01,1,treatment,1,0.3915,0.0211,0,0.0,0,0.0,0,0.0,20.25
EXP_DISCOUNT,C0030,Discount,2026-08-01,1,treatment,1,0.3915,0.0295,0,0.0,0,0.0,1,255.18,23.25
EXP_FESTIVAL,C0030,Festival,2026-08-01,1,control,0,0.3915,0.0379,0,0.0,0,0.0,0,0.0,0.0
EXP_LOYALTY,C0030,Loyalty,2026-08-01,1,treatment,1,0.3915,0.0464,1,426.61,1,757.34,1,947.0,16.0
EXP_NEW_PRODUCT,C0030,New Product,2026-08-01,1,control,0,0.3915,0.0548,0,0.0,0,0.0,0,0.0,0.0
EXP_WIN-BACK,C0030,Win-back,2026-08-01,1,control,0,0.3915,0.0632,0,0.0,0,0.0,0,0.0,0.0
EXP_BIRTHDAY,C0031,Birthday,2026-08-01,1,treatment,1,0.3426,0.0206,0,0.0,0,0.0,0,0.0,20.25
EXP_DISCOUNT,C0031,Discount,2026-08-01,1,control,0,0.3426,0.0289,0,0.0,0,0.0,0,0.0,0.0
EXP_FESTIVAL,C0031,Festival,2026-08-01,1,control,0,0.3426,0.0371,0,0.0,0,0.0,0,0.0,0.0
EXP_LOYALTY,C0031,Loyalty,2026-08-01,1,treatment,1,0.3426,0.0454,0,0.0,0,0.0,0,0.0,16.0
EXP_NEW_PRODUCT,C0031,New Product,2026-08-01,1,treatment,1,0.3426,0.0536,0,0.0,0,0.0,0,0.0,23.0
EXP_WIN-BACK,C0031,Win-back,2026-08-01,1,control,0,0.3426,0.0619,0,0.0,0,0.0,0,0.0,0.0
EXP_BIRTHDAY,C0032,Birthday,2026-08-01,1,treatment,1,0.5963,0.023,0,0.0,1,313.99,1,572.52,20.25
EXP_DISCOUNT,C0032,Discount,2026-08-01,1,treatment,1,0.5963,0.0322,0,0.0,1,360.66,1,729.13,23.25
EXP_FESTIVAL,C0032,Festival,2026-08-01,1,treatment,1,0.5963,0.0414,0,0.0,1,636.08,1,1046.79,29.0
EXP_LOYALTY,C0032,Loyalty,2026-08-01,1,treatment,1,0.5963,0.0506,1,150.38,1,230.2,1,510.99,16.0
EXP_NEW_PRODUCT,C0032,New Product,2026-08-01,1,treatment,1,0.5963,0.0598,0,0.0,0,0.0,1,513.94,23.0
EXP_WIN-BACK,C0032,Win-back,2026-08-01,1,treatment,1,0.5963,0.069,1,162.54,1,300.28,1,415.15,31.0
EXP_BIRTHDAY,C0033,Birthday,2026-08-01,1,treatment,1,0.4657,0.0218,0,0.0,0,0.0,0,0.0,20.25
EXP_DISCOUNT,C0033,Discount,2026-08-01,1,treatment,1,0.4657,0.0305,0,0.0,1,595.85,1,1179.24,23.25
EXP_FESTIVAL,C0033,Festival,2026-08-01,1,control,0,0.4657,0.0392,1,457.0,1,654.67,1,1324.57,0.0
EXP_LOYALTY,C0033,Loyalty,2026-08-01,1,treatment,1,0.4657,0.0479,0,0.0,0,0.0,0,0.0,16.0
EXP_NEW_PRODUCT,C0033,New Product,2026-08-01,1,control,0,0.4657,0.0566,0,0.0,0,0.0,0,0.0,0.0
EXP_WIN-BACK,C0033,Win-back,2026-08-01,1,treatment,1,0.4657,0.0654,0,0.0,0,0.0,0,0.0,31.0
EXP_BIRTHDAY,C0034,Birthday,2026-08-01,1,control,0,0.4356,0.0215,0,0.0,0,0.0,1,1162.67,0.0
EXP_DISCOUNT,C0034,Discount,2026-08-01,1,control,0,0.4356,0.0301,0,0.0,0,0.0,0,0.0,0.0
EXP_FESTIVAL,C0034,Festival,2026-08-01,1,control,0,0.4356,0.0387,0,0.0,0,0.0,0,0.0,0.0
EXP_LOYALTY,C0034,Loyalty,2026-08-01,1,treatment,1,0.4356,0.0473,0,0.0,0,0.0,0,0.0,16.0
EXP_NEW_PRODUCT,C0034,New Product,2026-08-01,1,treatment,1,0.4356,0.0559,0,0.0,0,0.0,0,0.0,23.0
EXP_WIN-BACK,C0034,Win-back,2026-08-01,1,control,0,0.4356,0.0645,1,358.75,1,776.62,1,1613.77,0.0
