customer_id,gender,age,city,registration_date
C0058,Female,44,Ranchi,2024-04-04
C0059,Female,18,Siliguri,2025-03-10
C0060,Male,28,New Town,2025-12-12
C0061,Female,39,Bhubaneswar,2025-11-03
C0062,Female,56,Ranchi,2025-06-07
C0063,Female,18,Salt Lake,2026-02-14
C0064,Male,34,Patna,2024-08-18
C0065,Male,29,Kolkata,2023-11-11
C0066,Female,33,Howrah,2024-12-01
C0067,Male,35,Patna,2024-05-03
C0068,Female,35,Salt Lake,2024-09-16
C0069,Male,34,Kolkata,2024-03-02
C0070,Female,36,New Town,2025-05-13
C0071,Male,28,Kolkata,2025-07-18
C0072,Female,27,Durgapur,2025-11-14
C0073,Female,33,Patna,2025-11-21
C0074,Male,18,Durgapur,2024-05-31
C0075,Female,43,Durgapur,2025-07-19
C0076,Female,47,Kolkata,2024-01-05
C0077,Female,34,Asansol,2025-09-04
C0078,Female,42,Ranchi,2025-07-06
C0079,Male,36,Kolkata,2025-12-23
C0080,Female,18,Bhubaneswar,2023-09-27
C0081,Male,34,Siliguri,2025-03-16
C0082,Male,34,Asansol,2024-02-06
C0083,Male,30,New Town,2024-05-05
C0084,Male,36,Ranchi,2024-10-26
C0085,Male,44,New Town,2024-06-06
C0086,Male,47,Salt Lake,2024-08-31
C0087,Female,31,Asansol,2024-03-11
C0088,Female,48,New Town,2026-05-22
C0089,Female,36,Asansol,2026-07-08
C0090,Female,29,Ranchi,2025-07-04
C0091,Male,36,Asansol,2024-02-10
C0092,Male,45,Kolkata,2024-08-16
C0093,Male,43,Kolkata,2024-07-22
C0094,Female,46,Ranchi,2023-11-22
C0095,Male,42,Patna,2024-03-19
C0096,Female,25,Salt Lake,2024-12-23
C0097,Male,39,Asansol,2025-11-03
C0098,Female,37,Bhubaneswar,2024-01-28
C0099,Male,35,Bhubaneswar,2023-12-02
C0100,Male,31,Kolkata,2023-11-16
C0101,Female,48,Salt Lake,2025-11-14
C0102,Male,26,Siliguri,2024-01-28
C0103,Female,29,Bhubaneswar,2026-05-31
C0104,Female,45,Asansol,2026-04-30
C0105,Male,40,Howrah,2025-06-13
C0106,Female,25,New Town,2023-11-13
C0107,Female,41,New Town,2025-08-25
C0108,Female,33,Durgapur,2024-05-31
C0109,Male,47,Bhubaneswar,2024-07-15
C0110,Female,50,Howrah,2024-07-21
C0111,Male,47,New Town,2024-12-21
C0112,Female,30,Howrah,2025-01-05
C0113,Female,22,New Town,2026-02-09
C0114,Female,36,Durgapur,2023-10-05
C0115,Male,47,Howrah,2024-03-16
C0116,Male,31,Salt Lake,2024-04-23
C0117,Male,29,Ranchi,2025-08-06
C0118,Male,47,New Town,2023-12-02
C0119,Female,54,Siliguri,2024-04-12
C0120,Male,32,Salt Lake,2026-05-19
C0121,Female,22,Patna,2025-12-05
C0122,Female,29,Salt Lake,2024-10-11
C0123,Female,28,Salt Lake,2024-03-12
C0124,Female,23,Siliguri,2025-01-21
C0125,Female,29,Kolkata,2025-12-25
C0126,Female,37,Siliguri,2024-11-07
C0127,Other,33,Patna,2024-06-22
C0128,Female,22,Asansol,2025-12-22
C0129,Male,39,Patna,2024-09-04
C0130,Male,35,Durgapur,2024-03-24
C0131,Male,23,Ranchi,2026-07-01
C0132,Male,36,Siliguri,2024-11-08
C0133,Male,30,Patna,2023-09-23
C0134,Female,27,Salt Lake,2024-11-30
C0135,Male,30,Asansol,2023-10-20
C0136,Female,20,Asansol,2024-08-21
C0137,Female,31,Ranchi,2026-03-23
C0138,Male,47,Patna,2024-06-02
C0139,Male,43,Salt Lake,2024-10-07
C0140,Male,18,New Town,2024-09-19
C0141,Male,43,Kolkata,2026-04-10
C0142,Male,35,Salt Lake,2025-11-23
C0143,Male,33,Salt Lake,2024-03-17
C0144,Male,26,Howrah,2025-05-15
C0145,Male,33,Asansol,2025-03-09
C0146,Female,27,Bhubaneswar,2023-11-01
C0147,Female,25,Bhubaneswar,2024-12-14
C0148,Female,26,Siliguri,2026-05-07
C0149,Male,41,New Town,2025-04-09
C0150,Male,55,Siliguri,2023-10-24
C0151,Female,37,Salt Lake,2025-07-09
C0152,Male,38,Bhubaneswar,2025-02-13
C0153,Female,36,Patna,2026-07-11
C0154,Male,25,Bhubaneswar,2023-11-16
C0155,Female,48,Asansol,2024-04-21
C0156,Female,42,Durgapur,2024-09-25
C0157,Female,38,New Town,2024-04-27
C0158,Female,45,Howrah,2025-12-13
C0159,Male,29,Howrah,2025-03-19
C0160,Male,22,Durgapur,2025-09-21
C0161,Male,34,New Town,2025-03-11
C0162,Female,43,Siliguri,2025-06-28
C0163,Female,38,Howrah,2024-04-19
C0164,Female,30,Bhubaneswar,2025-09-05
C0165,Female,33,Asansol,2025-02-10
C0166,Male,53,Durgapur,2026-05-22
C0167,Male,25,Patna,2024-08-03
C0168,Female,28,New Town,2025-10-25
C0169,Male,39,Durgapur,2024-08-31
C0170,Male,43,Bhubaneswar,2025-08-27
C0171,Female,35,New Town,2026-07-11
C0172,Female,62,New Town,2024-01-25
C0173,Female,33,Howrah,2025-08-11
C0174,Female,30,Siliguri,2024-02-28
C0175,Female,28,Siliguri,2025-06-27
C0176,Female,38,New Town,2026-04-18
C0177,Male,36,New Town,2026-05-06
C0178,Female,24,New Town,2024-11-16
C0179,Female,25,Durgapur,2024-10-07
C0180,Male,49,Salt Lake,2025-04-22
C0181,Female,45,Siliguri,2023-11-24
C0182,Female,34,Salt Lake,2026-04-03
C0183,Male,34,Salt Lake,2025-12-17
C0184,Male,21,Bhubaneswar,2023-09-15
C0185,Male,19,Patna,2024-11-01
C0186,Female,51,Kolkata,2024-11-16
C0187,Female,46,Asansol,2026-05-15
C0188,Female,25,Siliguri,2026-05-07
C0189,Female,23,Howrah,2024-05-13
C0190,Female,31,Durgapur,2024-01-14
C0191,Male,32,Patna,2025-03-23
C0192,Male,37,Asansol,2025-05-07
C0193,Male,44,Durgapur,2025-11-18
C0194,Female,32,New Town,2024-11-10
C0195,Female,38,Asansol,2025-01-05
C0196,Male,34,Patna,2023-12-08
C0197,Female,33,Patna,2025-02-28
C0198,Male,38,Howrah,2025-02-16
C0199,Female,32,Ranchi,2025-07-11
C0200,Female,37,Patna,2023-10-31
C0201,Female,45,Kolkata,2026-06-09
C0202,Female,29,Durgapur,2024-10-28
C0203,Female,42,Durgapur,2025-03-29
C0204,Male,41,Asansol,2025-10-29
C0205,Male,39,Durgapur,2025-02-10
C0206,Female,26,Ranchi,2025-01-04
C0207,Female,42,Durgapur,2025-07-16
C0208,Male,24,Salt Lake,2026-01-30
C0209,Female,49,Siliguri,2023-09-20
C0210,Female,31,Salt Lake,2026-03-08
C0211,Male,37,Durgapur,2026-05-27
C0212,Male,26,Howrah,2024-01-24
C0213,Female,25,Ranchi,2023-10-13
C0214,Female,42,Siliguri,2025-12-31
C0215,Male,40,New Town,2025-11-03
C0216,Male,50,Howrah,2024-11-08
C0217,Male,42,Howrah,2024-09-01
C0218,Female,45,Siliguri,2023-10-24
C0219,Male,52,Bhubaneswar,2024-09-01
C0220,Female,43,Kolkata,2025-01-22
C0221,Male,52,Howrah,2024-06-21
C0222,Female,35,Asansol,2023-12-22
C0223,Male,30,Howrah,2024-05-01
C0224,Female,45,Bhubaneswar,2025-01-16
C0225,Female,48,Siliguri,2026-05-08
C0226,Female,45,Howrah,2025-04-11
C0227,Male,33,New Town,2024-03-19
C0228,Male,36,New Town,2023-09-23
C0229,Female,40,Durgapur,2024-07-06
C0230,Female,32,Howrah,2026-02-13
C0231,Female,56,Bhubaneswar,2024-08-14
C0232,Female,51,Bhubaneswar,2025-08-24
C0233,Male,54,Patna,2023-10-24
C0234,Female,49,Salt Lake,2025-09-02
C0235,Female,41,New Town,2024-10-30
C0236,Male,47,Patna,2024-08-24
C0237,Male,42,Ranchi,2025-03-29
C0238,Female,30,Kolkata,2025-03-11
C0239,Female,47,Patna,2025-08-22
C0240,Female,52,Howrah,2025-03-25
C0241,Female,30,Ranchi,2024-09-18
C0242,Male,23,Kolkata,2026-01-24
C0243,Male,39,Bhubaneswar,2023-11-26
C0244,Female,43,New Town,2024-01-14
C0245,Female,24,Kolkata,2025-10-13
C0246,Male,56,Salt Lake,2026-02-18
C0247,Female,19,Salt Lake,2024-08-20
C0248,Female,28,Patna,2025-12-21
C0249,Female,25,Salt Lake,2024-06-05
C0250,Male,33,Howrah,2025-05-28
C0251,Female,27,New Town,2026-03-21
C0252,Male,39,New Town,2025-04-03
C0253,Male,37,Asansol,2025-08-29
C0254,Male,32,Patna,2024-05-31
C0255,Male,49,Asansol,2024-09-28
C0256,Male,39,Asansol,2025-05-01
C0257,Male,52,Durgapur,2023-10-20
C0258,Male,40,Durgapur,2025-09-19
C0259,Female,30,Asansol,2026-03-10
C0260,Female,37,Durgapur,2024-06-16
C0261,Male,34,Bhubaneswar,2026-02-11
C0262,Male,18,Bhubaneswar,2025-12-03
C0263,Female,25,Bhubaneswar,2026-03-17
C0264,Male,53,Bhubaneswar,2024-03-22
C0265,Male,32,Kolkata,2025-05-06
C0266,Female,47,New Town,2024-01-26
C0267,Male,38,Howrah,2025-07-05
C0268,Male,19,Ranchi,2023-11-14
C0269,Female,34,Asansol,2024-06-30
C0270,Male,44,Siliguri,2025-12-29
C0271,Female,26,Howrah,2026-01-06
C0272,Male,49,Siliguri,2024-06-25
C0273,Female,29,Patna,2024-10-28
C0274,Male,46,Salt Lake,2023-10-23
C0275,Female,39,Howrah,2024-11-29
C0276,Male,38,Durgapur,2024-07-23
C0277,Male,50,Bhubaneswar,2026-06-26
C0278,Female,38,Patna,2026-04-06
C0279,Male,34,Durgapur,2026-05-26
C0280,Male,35,Patna,2025-02-17
C0281,Female,29,Patna,2024-04-24
C0282,Male,24,New Town,2024-08-30
C0283,Female,49,New Town,2024-12-04
C0284,Other,30,Ranchi,2026-05-27
C0285,Female,35,Howrah,2024-02-24
C0286,Female,37,Kolkata,2024-08-13
C0287,Female,56,Durgapur,2024-05-18
C0288,Female,39,Patna,2024-03-09
C0289,Female,43,Kolkata,2025-08-14
C0290,Female,29,Kolkata,2023-09-30
C0291,Male,24,Bhubaneswar,2024-11-29
C0292,Male,20,Ranchi,2024-02-15
C0293,Male,18,Durgapur,2025-01-06
C0294,Male,46,Ranchi,2026-04-08
C0295,Male,44,Durgapur,2024-10-13
C0296,Male,31,Durgapur,2024-11-09
C0297,Male,30,Siliguri,2024-02-08
C0298,Female,22,Salt Lake,2026-07-01
C0299,Male,25,Ranchi,2024-02-17
C0300,Male,18,Kolkata,2026-02-20
C0301,Female,18,Bhubaneswar,2025-09-30
C0302,Male,46,Bhubaneswar,2025-04-01
C0303,Female,46,Bhubaneswar,2025-04-11
C0304,Female,23,Howrah,2024-03-15
C0305,Male,35,Siliguri,2026-03-06
C0306,Female,49,Asansol,2024-01-25
C0307,Female,45,Patna,2026-07-20
C0308,Female,22,Asansol,2024-11-25
C0309,Female,33,Salt Lake,2024-06-22
C0310,Male,30,Ranchi,2025-06-09
C0311,Female,51,Kolkata,2024-05-19
C0312,Female,48,Asansol,2026-04-27
C0313,Female,47,Ranchi,2025-09-02
C0314,Female,23,New Town,2025-09-18
C0315,Male,58,Durgapur,2025-10-15
C0316,Female,34,Durgapur,2026-01-17
C0317,Male,44,New Town,2025-12-07
C0318,Female,41,Patna,2026-06-24
C0319,Female,35,Siliguri,2024-12-13
C0320,Female,30,Ranchi,2023-09-22
C0321,Female,38,Siliguri,2025-10-29
C0322,Male,23,Howrah,2024-02-25
C0323,Female,28,Howrah,2023-10-12
C0324,Female,42,Kolkata,2024-11-07
C0325,Male,47,Ranchi,2025-10-28
C0326,Male,18,Bhubaneswar,2025-09-30
C0327,Female,33,Ranchi,2025-06-23
C0328,Female,33,Salt Lake,2023-09-28
C0329,Male,47,Salt Lake,2023-10-02
C0330,Male,38,Durgapur,2023-12-31
C0331,Male,31,Howrah,2026-04-15
C0332,Male,43,Asansol,2024-04-24
C0333,Female,49,Kolkata,2025-02-05
C0334,Female,36,Asansol,2023-12-21
C0335,Male,29,Howrah,2024-11-20
C0336,Female,28,Howrah,2024-02-14
C0337,Female,52,Durgapur,2023-12-01
C0338,Male,39,Asansol,2025-06-19
C0339,Male,33,Kolkata,2025-11-02
C0340,Female,50,Bhubaneswar,2025-12-22
C0341,Female,22,Durgapur,2025-10-30
C0342,Female,46,Howrah,2025-08-21
C0343,Male,44,Kolkata,2026-02-07
C0344,Female,29,Ranchi,2026-04-04
C0345,Male,35,Siliguri,2024-07-29
C0346,Male,37,Bhubaneswar,2024-11-24
C0347,Male,44,Siliguri,2025-11-01
C0348,Male,24,Siliguri,2024-12-16
C0349,Male,40,New Town,2025-01-09
C0350,Male,25,Salt Lake,2024-06-14
C0351,Male,42,Siliguri,2024-04-27
C0352,Male,42,Kolkata,2026-03-10
C0353,Male,37,Siliguri,2026-04-14
C0354,Male,18,Siliguri,2026-05-13
C0355,Male,32,New Town,2025-09-28
C0356,Male,47,Patna,2024-06-10
C0357,Female,41,Siliguri,2023-11-12
C0358,Male,19,Bhubaneswar,2024-08-21
C0359,Male,38,Kolkata,2024-08-10
C0360,Male,38,Howrah,2023-09-28
C0361,Female,28,Ranchi,2024-10-27
C0362,Male,32,Patna,2024-10-11
C0363,Male,34,Salt Lake,2025-08-12
C0364,Female,45,Durgapur,2025-09-12
C0365,Male,33,Asansol,2024-07-21
C0366,Male,37,Kolkata,2025-08-14
C0367,Female,38,Asansol,2025-09-12
C0368,Male,46,New Town,2024-03-28
C0369,Female,27,Siliguri,2025-07-10
C0370,Male,33,Siliguri,2025-09-10
C0371,Female,42,Ranchi,2024-01-01
C0372,Male,18,New Town,2024-12-18
C0373,Male,42,New Town,2024-10-16
C0374,Female,35,Durgapur,2023-10-29
C0375,Male,28,Patna,2023-09-08
C0376,Female,22,Ranchi,2024-04-11
C0377,Other,39,Durgapur,2025-06-13
C0378,Female,30,New Town,2026-06-15
C0379,Female,18,Ranchi,2024-01-15
C0380,Female,18,Durgapur,2024-03-25
C0381,Male,37,Durgapur,2024-08-25
C0382,Female,30,Siliguri,2024-10-17
C0383,Female,53,Howrah,2024-08-06
C0384,Male,31,New Town,2025-10-24
C0385,Male,35,Siliguri,2026-01-22
C0386,Female,33,Salt Lake,2025-10-31
C0387,Female,26,Howrah,2026-06-20
C0388,Male,27,Howrah,2024-12-30
C0389,Male,48,Patna,2025-01-05
C0390,Female,18,Bhubaneswar,2024-10-12
C0391,Male,30,New Town,2024-03-04
C0392,Male,44,Howrah,2026-01-24
C0393,Female,36,New Town,2023-09-12
C0394,Female,52,Salt Lake,2025-03-26
C0395,Male,31,Ranchi,2024-06-02
C0396,Male,32,Ranchi,2026-01-13
C0397,Male,33,Durgapur,2024-06-18
C0398,Female,45,Kolkata,2024-12-26
C0399,Female,31,Asansol,2025-07-23
C0400,Male,20,Bhubaneswar,2026-04-02
C0401,Male,18,Ranchi,2025-05-09
C0402,Male,38,Patna,2025-06-01
C0403,Female,25,New Town,2024-02-19
C0404,Female,35,Salt Lake,2026-01-11
C0405,Male,53,Ranchi,2024-10-17
C0406,Female,27,Durgapur,2024-04-05
C0407,Male,33,Kolkata,2026-07-24
C0408,Female,31,Kolkata,2024-12-05
C0409,Female,42,Kolkata,2026-05-25
C0410,Female,48,Kolkata,2024-07-11
C0411,Female,20,Bhubaneswar,2025-10-17
C0412,Male,45,New Town,2026-02-17
C0413,Male,45,Patna,2026-05-03
C0414,Male,28,Durgapur,2025-04-17
C0415,Female,45,New Town,2024-04-24
C0416,Female,41,New Town,2026-07-12
C0417,Female,33,Bhubaneswar,2025-11-07
C0418,Male,22,Ranchi,2024-10-21
C0419,Female,19,Ranchi,2023-12-11
C0420,Male,27,Durgapur,2025-02-09
C0421,Male,36,Bhubaneswar,2025-12-30
C0422,Male,18,Kolkata,2024-08-17
C0423,Female,18,Durgapur,2024-11-09
C0424,Female,40,Kolkata,2025-01-27
C0425,Male,31,Bhubaneswar,2024-03-18
C0426,Male,26,Patna,2025-07-06
C0427,Male,43,Patna,2025-06-29
C0428,Female,24,Ranchi,2024-03-25
C0429,Male,32,Ranchi,2024-08-14
C0430,Male,25,Durgapur,2024-03-05
C0431,Female,47,New Town,2025-10-20
C0432,Female,33,Howrah,2023-11-21
C0433,Female,41,Howrah,2025-10-23
C0434,Female,20,Asansol,2024-09-16
C0435,Female,41,Durgapur,2023-11-14
C0436,Female,24,Ranchi,2025-04-04
C0437,Male,47,Bhubaneswar,2026-06-06
C0438,Male,40,Bhubaneswar,2026-07-17
C0439,Female,27,Ranchi,2026-05-16
C0440,Female,18,Durgapur,2025-12-02
C0441,Female,36,New Town,2024-04-14
C0442,Female,41,Bhubaneswar,2025-04-28
C0443,Male,34,Ranchi,2025-06-15
C0444,Male,40,Salt Lake,2025-07-26
C0445,Male,26,Bhubaneswar,2023-10-29
C0446,Male,58,Ranchi,2026-01-14
C0447,Female,32,Bhubaneswar,2024-12-22
C0448,Female,44,Bhubaneswar,2025-07-04
C0449,Female,28,New Town,2026-01-03
C0450,Female,31,Ranchi,2026-07-28
C0451,Male,30,Durgapur,2026-07-30
C0452,Female,35,Salt Lake,2024-06-09
C0453,Female,32,Siliguri,2025-05-07
C0454,Male,62,Bhubaneswar,2024-06-20
C0455,Female,57,Kolkata,2024-07-02
C0456,Female,29,Asansol,2026-01-23
C0457,Male,29,Ranchi,2025-02-09
C0458,Female,40,Durgapur,2024-09-18
C0459,Male,18,Asansol,2025-05-05
C0460,Female,44,Asansol,2025-05-27
C0461,Female,34,Ranchi,2025-02-28
C0462,Female,34,Siliguri,2025-11-07
C0463,Male,58,Kolkata,2024-03-30
C0464,Male,33,Durgapur,2023-11-22
C0465,Female,35,Asansol,2026-01-26
C0466,Male,50,Salt Lake,2024-09-21
C0467,Female,37,Salt Lake,2025-03-07
C0468,Male,43,Howrah,2026-04-11
C0469,Male,31,Howrah,2023-10-21
C0470,Female,37,Durgapur,2025-02-25
C0471,Female,36,Patna,2025-06-18
C0472,Male,37,Ranchi,2026-01-11
C0473,Male,33,Ranchi,2025-08-05
C0474,Male,28,Durgapur,2025-10-14
C0475,Male,41,New Town,2024-03-30
C0476,Female,36,Durgapur,2025-04-15
C0477,Male,26,New Town,2024-11-18
C0478,Female,24,Siliguri,2023-12-03
C0479,Male,30,Durgapur,2024-09-05
C0480,Female,27,Salt Lake,2026-03-03
C0481,Male,43,New Town,2024-06-21
C0482,Female,25,Kolkata,2025-05-31
C0483,Female,29,Kolkata,2025-07-27
C0484,Male,37,New Town,2024-07-04
C0485,Female,24,Ranchi,2025-01-01
C0486,Female,21,Siliguri,2024-10-31
C0487,Male,32,Ranchi,2024-06-27
C0488,Male,48,Salt Lake,2025-02-28
C0489,Female,42,Howrah,2024-11-05
C0490,Female,38,Asansol,2024-04-17
C0491,Female,47,Kolkata,2026-06-14
C0492,Female,42,Howrah,2024-07-12
C0493,Male,22,Kolkata,2025-06-04
C0494,Female,51,New Town,2025-12-21
C0495,Female,30,Salt Lake,2026-03-03
C0496,Female,27,Patna,2025-11-26
C0497,Male,33,Howrah,2025-05-03
C0498,Female,45,Howrah,2025-06-26
C0499,Male,33,Salt Lake,2025-05-06
C0500,Female,67,Howrah,2025-06-15
C0501,Female,41,New Town,2024-06-14
C0502,Female,33,Durgapur,2026-05-03
C0503,Female,38,Ranchi,2024-02-10
C0504,Other,46,Patna,2024-10-28
C0505,Male,35,Asansol,2026-02-20
C0506,Female,36,Patna,2025-07-28
C0507,Male,26,New Town,2023-10-10
C0508,Other,53,Durgapur,2025-04-05
C0509,Female,25,Kolkata,2024-07-06
C0510,Male,25,Howrah,2023-09-23
C0511,Female,42,New Town,2024-11-08
C0512,Female,25,Durgapur,2025-06-21
C0513,Female,25,Patna,2024-08-29
C0514,Male,24,Salt Lake,2025-03-20
C0515,Female,33,Siliguri,2024-03-27
C0516,Male,41,Durgapur,2024-04-17
C0517,Male,42,Asansol,2025-10-11
C0518,Female,43,Kolkata,2025-07-12
C0519,Female,34,Ranchi,2025-02-18
C0520,Female,54,New Town,2026-03-16
C0521,Female,52,Siliguri,2024-02-06
C0522,Female,37,Durgapur,2024-09-28
C0523,Female,43,Salt Lake,2024-08-19
C0524,Female,45,Howrah,2024-04-29
C0525,Female,39,Siliguri,2025-01-17
C0526,Female,57,Kolkata,2023-09-02
C0527,Male,37,Bhubaneswar,2026-06-16
C0528,Male,43,Patna,2026-06-13
C0529,Female,50,Asansol,2026-01-08
C0530,Female,19,Ranchi,2025-08-24
C0531,Male,25,Patna,2025-07-15
C0532,Male,36,Salt Lake,2026-01-27
C0533,Male,18,Asansol,2024-04-19
C0534,Female,21,Salt Lake,2024-12-06
C0535,Male,50,Durgapur,2024-03-01
C0536,Female,38,Ranchi,2025-03-09
C0537,Female,38,Howrah,2023-12-06
C0538,Female,31,Patna,2025-05-25
C0539,Male,51,Bhubaneswar,2025-10-12
C0540,Female,42,Durgapur,2026-05-12
C0541,Male,28,Bhubaneswar,2026-06-13
C0542,Male,20,New Town,2026-03-07
C0543,Female,41,Durgapur,2024-06-27
C0544,Male,39,Durgapur,2024-11-02
C0545,Male,45,Patna,2025-06-20
C0546,Male,19,Kolkata,2025-09-16
C0547,Male,43,Durgapur,2024-05-16
C0548,Male,22,Salt Lake,2026-04-25
C0549,Male,23,Siliguri,2023-10-02
C0550,Female,39,Howrah,2025-03-14
C0551,Other,38,Patna,2026-01-22
C0552,Female,18,Kolkata,2026-01-12
C0553,Male,41,Salt Lake,2026-06-04
C0554,Female,41,Asansol,2024-11-23
C0555,Male,41,New Town,2026-01-20
C0556,Female,45,Ranchi,2025-04-19
C0557,Female,18,Kolkata,2026-05-25
C0558,Female,26,Siliguri,2024-04-04
C0559,Male,38,Kolkata,2026-02-08
C0560,Female,55,New Town,2026-04-27
C0561,Female,20,Kolkata,2023-10-07
C0562,Male,33,Ranchi,2024-03-16
C0563,Other,35,Durgapur,2026-05-27
C0564,Male,47,Howrah,2025-01-22
C0565,Female,41,Ranchi,2026-03-05
C0566,Female,35,Ranchi,2025-10-08
C0567,Female,24,Ranchi,2023-09-26
C0568,Female,31,Bhubaneswar,2023-11-07
C0569,Male,45,Durgapur,2025-03-12
C0570,Male,45,Bhubaneswar,2025-08-27
C0571,Male,32,Patna,2025-02-23
C0572,Male,18,Siliguri,2024-12-25
C0573,Female,34,New Town,2026-01-23
C0574,Female,35,Asansol,2025-06-07
C0575,Male,24,Asansol,2023-09-25
C0576,Male,18,Kolkata,2026-01-18
C0577,Female,29,Kolkata,2025-03-30
C0578,Male,43,New Town,2023-12-27
C0579,Male,39,Salt Lake,2024-03-03
C0580,Other,26,Ranchi,2023-12-16
C0581,Male,42,Asansol,2024-03-22
C0582,Female,41,Durgapur,2025-01-15
C0583,Male,18,Patna,2024-08-09
C0584,Male,28,Howrah,2025-08-19
C0585,Female,18,Patna,2025-05-06
C0586,Female,32,Salt Lake,2025-04-13
C0587,Female,40,Ranchi,2024-06-25
C0588,Male,53,Ranchi,2023-09-30
C0589,Female,31,Durgapur,2025-01-19
C0590,Male,40,Howrah,2024-12-12
C0591,Female,44,Salt Lake,2026-02-04
C0592,Male,28,Howrah,2026-02-12
C0593,Female,43,Bhubaneswar,2026-06-24
C0594,Female,37,New Town,2025-11-28
C0595,Female,41,Salt Lake,2025-09-04
C0596,Female,43,Kolkata,2024-02-10
C0597,Male,18,Asansol,2024-06-25
C0598,Male,39,Durgapur,2025-10-27
C0599,Female,53,Kolkata,2025-10-05
C0600,Male,49,Patna,2024-04-28
C0601,Male,29,Bhubaneswar,2023-12-02
C0602,Male,41,Kolkata,2024-06-17
C0603,Female,50,Bhubaneswar,2024-03-22
C0604,Female,27,Ranchi,2025-09-07
C0605,Male,21,Kolkata,2024-07-21
C0606,Female,38,Bhubaneswar,2024-03-08
C0607,Female,44,Ranchi,2024-07-10
C0608,Female,51,Asansol,2024-11-04
C0609,Female,49,Howrah,2024-01-16
C0610,Female,24,Asansol,2026-05-04
C0611,Male,28,Salt Lake,2026-05-08
C0612,Male,31,Howrah,2026-07-29
C0613,Male,41,Durgapur,2026-02-12
C0614,Male,30,New Town,2025-02-22
C0615,Female,18,Ranchi,2025-03-26
C0616,Female,44,Howrah,2025-01-03
C0617,Male,38,Patna,2024-01-11
C0618,Other,18,New Town,2025-08-06
C0619,Female,33,New Town,2025-02-28
C0620,Male,45,Siliguri,2025-08-30
C0621,Male,45,Salt Lake,2024-01-01
C0622,Male,34,Patna,2026-03-11
C0623,Female,39,New Town,2024-08-24
C0624,Male,52,Asansol,2026-07-13
C0625,Female,48,Patna,2024-09-11
C0626,Female,38,Bhubaneswar,2024-03-30
C0627,Male,27,Salt Lake,2026-01-29
C0628,Male,30,New Town,2026-06-29
C0629,Male,32,Durgapur,2023-10-03
C0630,Female,48,Siliguri,2025-09-29
C0631,Female,51,Kolkata,2026-01-30
C0632,Male,36,Kolkata,2024-08-28
C0633,Male,54,Howrah,2025-05-24
C0634,Male,27,Siliguri,2025-05-24
C0635,Male,49,Howrah,2025-04-29
C0636,Male,33,Kolkata,2023-09-23
C0637,Male,43,Ranchi,2024-12-14
C0638,Female,40,Siliguri,2025-08-22
C0639,Female,42,Asansol,2026-05-19
C0640,Female,43,Siliguri,2025-11-29
C0641,Male,42,Siliguri,2024-03-21
C0642,Female,22,Salt Lake,2025-03-25
