campaign_id,customer_id,campaign_date,campaign_type,reward_type,reward_value,campaign_cost,sent,delivered,clicked,redeemed,redemption_date
CAMP00150,C0499,19-07-2025,Win-back,Percentage Discount,25,32.75,1,1,0,0,
CAMP00151,C0443,09-09-2025,Birthday,Percentage Discount,10,18.5,1,1,1,0,
CAMP00152,C0143,08-08-2025,Birthday,Percentage Discount,15,20.25,1,1,0,0,
CAMP00153,C0625,22-08-2026,Birthday,Percentage Discount,20,22,1,0,0,0,
CAMP00154,C0312,08-06-2026,Birthday,Percentage Discount,20,22,1,1,1,1,10-06-2026
CAMP00155,C0511,23-12-2024,Loyalty,Points,100,16,1,1,1,0,
CAMP00156,C0449,19-07-2026,Win-back,Percentage Discount,20,31,1,1,1,1,24-07-2026
CAMP00157,C0504,03-05-2026,Festival,Percentage Discount,10,25.5,1,1,1,0,
CAMP00158,C0080,22-07-2024,New Product,Free Item,1,23,1,1,0,0,
CAMP00159,C0762,06-04-2026,Discount,Percentage Discount,20,25,1,1,0,0,
CAMP00160,C0050,04-06-2026,Discount,Percentage Discount,15,23.25,1,1,1,1,17-06-2026
CAMP00161,C0293,22-01-2025,Discount,Percentage Discount,5,19.75,1,1,1,0,
CAMP00162,C0424,21-03-2026,Festival,Percentage Discount,10,25.5,1,0,0,0,
CAMP00163,C0560,05-05-2026,New Product,Free Item,1,23,1,1,0,0,
CAMP00164,C0587,10-09-2024,Discount,Percentage Discount,10,21.5,1,1,1,0,
CAMP00165,C0597,01-04-2025,New Product,Free Item,1,23,1,0,0,0,
CAMP00166,C0582,21-03-2026,Win-back,Percentage Discount,20,31,1,1,0,0,
CAMP00167,C0500,25-04-2026,Loyalty,Points,100,16,1,1,0,0,
CAMP00168,C0440,11-12-2025,Festival,Percentage Discount,30,32.5,1,0,0,0,
CAMP00169,C0368,07-12-2024,Win-back,Percentage Discount,10,27.5,1,1,0,0,
CAMP00170,C0516,24-10-2024,Loyalty,Points,100,16,1,1,0,0,
CAMP00171,C0213,17-05-2024,New Product,Free Item,1,23,1,1,1,0,
CAMP00172,C0659,14-09-2025,Discount,Percentage Discount,20,25,1,1,0,0,
CAMP00173,C0928,26-03-2026,Discount,Percentage Discount,20,25,1,1,1,0,
CAMP00174,C0358,15-04-2026,Discount,Percentage Discount,5,19.75,1,1,1,0,
CAMP00175,C0725,26-06-2026,Discount,Percentage Discount,15,23.25,1,1,1,0,
CAMP00176,C0575,30-11-2023,Loyalty,Points,100,16,1,1,1,1,03-12-2023
CAMP00177,C0213,21-11-2025,Loyalty,Points,100,16,1,1,0,0,
CAMP00178,C0917,10-06-2026,Festival,Percentage Discount,15,27.25,1,1,0,0,
CAMP00179,C0807,30-11-2025,Discount,Percentage Discount,15,23.25,1,1,1,0,
CAMP00180,C0452,19-04-2025,New Product,Free Item,1,23,1,1,0,0,
CAMP00181,C0449,04-05-2026,Festival,Percentage Discount,20,29,1,1,1,0,
CAMP00182,C0092,30-11-2025,New Product,Free Item,1,23,1,1,1,0,
CAMP00183,C0571,19-05-2025,Birthday,Percentage Discount,10,18.5,1,1,0,0,
CAMP00184,C0027,03-03-2026,New Product,Free Item,1,23,1,0,0,0,
CAMP00185,C0915,13-02-2025,Festival,Percentage Discount,15,27.25,1,1,1,1,25-02-2025
CAMP00186,C0516,26-07-2026,Win-back,Percentage Discount,15,29.25,1,1,0,0,
CAMP00187,C0670,24-05-2026,Win-back,Percentage Discount,10,27.5,1,1,1,0,
CAMP00188,C0033,12-05-2026,Discount,Percentage Discount,10,21.5,1,1,0,0,
CAMP00189,C0578,31-07-2024,Loyalty,Points,250,22,1,1,0,0,
CAMP00190,C0068,14-08-2025,Loyalty,Points,100,16,1,1,1,0,
CAMP00191,C0375,17-03-2025,Birthday,Percentage Discount,10,18.5,1,1,0,0,
CAMP00192,C0998,02-07-2026,New Product,Free Item,1,23,1,1,0,0,
CAMP00193,C0485,21-05-2026,Discount,Percentage Discount,15,23.25,1,1,0,0,
CAMP00194,C0058,16-03-2025,Discount,Percentage Discount,15,23.25,1,1,1,0,
CAMP00195,C0510,06-08-2026,Birthday,Percentage Discount,15,20.25,1,1,1,0,
CAMP00196,C0974,02-07-2026,Festival,Percentage Discount,30,32.5,1,1,0,0,
CAMP00197,C0329,09-10-2025,Festival,Percentage Discount,25,30.75,1,1,0,0,
CAMP00198,C0245,01-11-2025,Festival,Percentage Discount,20,29,1,1,0,0,
CAMP00199,C0656,10-10-2025,Festival,Percentage Discount,25,30.75,1,1,0,0,
CAMP00200,C0372,07-06-2025,Festival,Percentage Discount,30,32.5,1,1,0,0,
CAMP00201,C0159,30-12-2025,Festival,Percentage Discount,20,29,1,1,0,0,
CAMP00202,C0895,23-09-2024,Festival,Percentage Discount,10,25.5,1,1,1,0,
CAMP00203,C0260,09-10-2025,Festival,Percentage Discount,25,30.75,1,1,0,0,
CAMP00204,C0558,22-02-2025,Discount,Percentage Discount,15,23.25,1,1,0,0,
CAMP00205,C0911,12-08-2026,Festival,Percentage Discount,15,27.25,1,1,1,1,20-08-2026
CAMP00206,C0655,24-09-2025,Discount,Percentage Discount,20,25,1,0,0,0,
CAMP00207,C0301,01-01-2026,Discount,Percentage Discount,5,19.75,1,1,1,0,
CAMP00208,C0769,27-12-2025,Loyalty,Points,250,22,1,1,0,0,
CAMP00209,C0434,07-04-2026,Festival,Percentage Discount,25,30.75,1,1,0,0,
CAMP00210,C0358,17-10-2024,New Product,Free Item,1,23,1,1,1,0,
CAMP00211,C0841,10-12-2025,Discount,Percentage Discount,20,25,1,1,0,0,
CAMP00212,C0753,15-10-2025,Discount,Percentage Discount,10,21.5,1,1,0,0,
CAMP00213,C0749,17-06-2025,Birthday,Percentage Discount,10,18.5,1,1,0,0,
CAMP00214,C0123,06-08-2024,Win-back,Percentage Discount,20,31,1,1,1,0,
CAMP00215,C0489,09-10-2025,Win-back,Percentage Discount,15,29.25,1,1,0,0,
CAMP00216,C0247,14-09-2025,Birthday,Percentage Discount,20,22,1,1,0,0,
CAMP00217,C0814,02-04-2026,Loyalty,Points,250,22,1,1,0,0,
CAMP00218,C0140,29-03-2025,New Product,Free Item,1,23,1,1,0,0,
CAMP00219,C0304,08-05-2025,New Product,Free Item,1,23,1,1,0,0,
CAMP00220,C0498,26-07-2026,Birthday,Percentage Discount,20,22,1,0,0,0,
CAMP00221,C0118,04-06-2026,Loyalty,Points,250,22,1,1,0,0,
CAMP00222,C0631,24-04-2026,Win-back,Percentage Discount,15,29.25,1,0,0,0,
CAMP00223,C0310,17-09-2025,Discount,Percentage Discount,5,19.75,1,1,1,1,27-09-2025
CAMP00224,C0921,06-01-2026,Festival,Percentage Discount,25,30.75,1,1,0,0,
CAMP00225,C0469,10-11-2023,Win-back,Percentage Discount,15,29.25,1,1,0,0,
CAMP00226,C0851,27-10-2025,Loyalty,Points,100,16,1,1,0,0,
CAMP00227,C0358,31-07-2026,Win-back,Percentage Discount,20,31,1,1,0,0,
CAMP00228,C0958,02-01-2026,Win-back,Percentage Discount,25,32.75,1,1,0,0,
CAMP00229,C0606,04-11-2025,Birthday,Percentage Discount,20,22,1,1,0,0,
CAMP00230,C0539,24-08-2026,Festival,Percentage Discount,25,30.75,1,1,0,0,
CAMP00231,C0837,24-06-2026,Discount,Percentage Discount,10,21.5,1,1,0,0,
CAMP00232,C0820,28-12-2025,Birthday,Percentage Discount,20,22,1,1,0,0,
CAMP00233,C0787,11-12-2023,Win-back,Percentage Discount,15,29.25,1,1,0,0,
CAMP00234,C0159,31-01-2026,Festival,Percentage Discount,15,27.25,1,1,0,0,
CAMP00235,C0558,24-07-2025,Win-back,Percentage Discount,10,27.5,1,1,1,1,31-07-2025
CAMP00236,C0976,22-06-2026,Festival,Percentage Discount,15,27.25,1,1,0,0,
CAMP00237,C0155,16-08-2024,Discount,Percentage Discount,5,19.75,1,1,0,0,
CAMP00238,C0018,05-02-2025,Birthday,Percentage Discount,20,22,1,1,0,0,
CAMP00239,C0607,02-08-2025,Birthday,Percentage Discount,15,20.25,1,1,0,0,
CAMP00240,C0816,20-06-2026,Discount,Percentage Discount,15,23.25,1,1,0,0,
CAMP00241,C0821,13-03-2024,Birthday,Percentage Discount,15,20.25,1,1,0,0,
CAMP00242,C0473,07-03-2026,Festival,Percentage Discount,15,27.25,1,1,0,0,
CAMP00243,C0901,15-08-2026,New Product,Free Item,1,23,1,1,1,0,
CAMP00244,C0780,12-06-2024,Festival,Percentage Discount,10,25.5,1,1,0,0,
CAMP00245,C0765,19-02-2026,Birthday,Percentage Discount,15,20.25,1,1,1,0,
CAMP00246,C0406,24-10-2024,Discount,Percentage Discount,10,21.5,1,1,0,0,
CAMP00247,C0748,13-03-2026,Loyalty,Points,250,22,1,1,0,0,
CAMP00248,C0120,26-05-2026,Festival,Percentage Discount,10,25.5,1,1,1,1,02-06-2026
CAMP00249,C0007,20-07-2026,Festival,Percentage Discount,10,25.5,1,1,1,1,25-07-2026
CAMP00250,C0421,16-07-2026,Festival,Percentage Discount,10,25.5,1,1,1,1,24-07-2026
CAMP00251,C0861,18-08-2026,Birthday,Percentage Discount,20,22,1,1,0,0,
CAMP00252,C0972,03-08-2026,Discount,Percentage Discount,15,23.25,1,1,0,0,
CAMP00253,C0217,05-01-2026,Loyalty,Points,50,14,1,0,0,0,
CAMP00254,C0058,26-11-2025,Festival,Percentage Discount,15,27.25,1,1,0,0,
CAMP00255,C0421,09-01-2026,Loyalty,Points,50,14,1,1,1,1,12-01-2026
CAMP00256,C0803,02-04-2026,New Product,Free Item,1,23,1,0,0,0,
CAMP00257,C0128,17-05-2026,Discount,Percentage Discount,20,25,1,1,0,0,
CAMP00258,C0996,24-07-2025,Discount,Percentage Discount,10,21.5,1,0,0,0,
CAMP00259,C0479,02-10-2025,New Product,Free Item,1,23,1,1,0,0,
CAMP00260,C0742,02-08-2026,Loyalty,Points,100,16,1,1,1,0,
CAMP00261,C0680,23-07-2024,New Product,Free Item,1,23,1,1,1,0,
CAMP00262,C0200,07-01-2025,Win-back,Percentage Discount,10,27.5,1,1,1,0,
CAMP00263,C0329,08-07-2026,Win-back,Percentage Discount,25,32.75,1,1,0,0,
CAMP00264,C0845,21-07-2026,Win-back,Percentage Discount,10,27.5,1,1,0,0,
CAMP00265,C0773,17-12-2024,Festival,Percentage Discount,20,29,1,1,1,1,23-12-2024
CAMP00266,C0773,27-02-2025,Birthday,Percentage Discount,15,20.25,1,1,0,0,
CAMP00267,C0933,25-08-2026,Win-back,Percentage Discount,15,29.25,1,1,0,0,
CAMP00268,C0937,06-04-2026,Festival,Percentage Discount,20,29,1,1,0,0,
CAMP00269,C0078,10-08-2025,New Product,Free Item,1,23,1,1,0,0,
CAMP00270,C0393,06-09-2025,Festival,Percentage Discount,20,29,1,1,0,0,
CAMP00271,C0356,13-07-2026,Win-back,Percentage Discount,25,32.75,1,1,0,0,
CAMP00272,C0507,11-04-2024,Birthday,Percentage Discount,10,18.5,1,1,0,0,
CAMP00273,C0459,09-07-2026,Win-back,Percentage Discount,15,29.25,1,0,0,0,
CAMP00274,C0975,22-08-2026,Loyalty,Points,50,14,1,1,0,0,
CAMP00275,C0266,22-10-2025,Win-back,Percentage Discount,20,31,1,1,0,0,
CAMP00276,C0358,29-08-2025,New Product,Free Item,1,23,1,1,0,0,
CAMP00277,C0161,30-08-2026,New Product,Free Item,1,23,1,1,1,0,
CAMP00278,C0344,13-05-2026,Festival,Percentage Discount,15,27.25,1,1,0,0,
CAMP00279,C0065,21-11-2023,Win-back,Percentage Discount,10,27.5,1,0,0,0,
CAMP00280,C0506,17-02-2026,Birthday,Percentage Discount,20,22,1,1,0,0,
CAMP00281,C0876,19-07-2026,Loyalty,Points,100,16,1,1,0,0,
CAMP00282,C0715,08-03-2025,New Product,Free Item,1,23,1,1,0,0,
CAMP00283,C0742,30-07-2026,Loyalty,Points,100,16,1,1,0,0,
CAMP00284,C0400,24-06-2026,Win-back,Percentage Discount,15,29.25,1,1,0,0,
CAMP00285,C0416,30-07-2026,Loyalty,Points,100,16,1,1,0,0,
CAMP00286,C0338,13-10-2025,Festival,Percentage Discount,30,32.5,1,1,0,0,
CAMP00287,C0442,17-05-2026,New Product,Free Item,1,23,1,1,0,0,
CAMP00288,C0494,20-01-2026,New Product,Free Item,1,23,1,1,0,0,
CAMP00289,C0567,06-02-2026,Win-back,Percentage Discount,20,31,1,1,0,0,
CAMP00290,C0782,31-03-2026,New Product,Free Item,1,23,1,1,0,0,
CAMP00291,C0483,02-03-2026,New Product,Free Item,1,23,1,1,0,0,
CAMP00292,C0121,02-01-2026,Discount,Percentage Discount,20,25,1,1,0,0,
CAMP00293,C0460,09-11-2025,Loyalty,Points,150,18,1,1,0,0,
CAMP00294,C0242,12-06-2026,Loyalty,Points,250,22,1,1,0,0,
CAMP00295,C0804,27-03-2025,Win-back,Percentage Discount,10,27.5,1,1,0,0,
CAMP00296,C0014,27-05-2026,Win-back,Percentage Discount,10,27.5,1,1,0,0,
CAMP00297,C0093,10-09-2025,Win-back,Percentage Discount,20,31,1,1,1,0,
CAMP00298,C0380,04-01-2025,Festival,Percentage Discount,20,29,1,0,0,0,
CAMP00299,C0828,12-01-2026,Discount,Percentage Discount,20,25,1,1,0,0,
CAMP00300,C0615,11-05-2026,Birthday,Percentage Discount,20,22,1,1,0,0,
CAMP00301,C0734,24-06-2026,Win-back,Percentage Discount,25,32.75,1,1,0,0,
CAMP00302,C0378,03-07-2026,New Product,Free Item,1,23,1,0,0,0,
CAMP00303,C0662,03-01-2026,Win-back,Percentage Discount,10,27.5,1,1,0,0,
CAMP00304,C0004,09-08-2026,Win-back,Percentage Discount,20,31,1,1,0,0,
CAMP00305,C0565,12-03-2026,Win-back,Percentage Discount,20,31,1,1,0,0,
CAMP00306,C0026,25-01-2026,Loyalty,Points,100,16,1,1,1,0,
CAMP00307,C0647,24-06-2026,Festival,Percentage Discount,25,30.75,1,1,0,0,
CAMP00308,C0437,22-08-2026,Festival,Percentage Discount,20,29,1,1,0,0,
CAMP00309,C0103,15-08-2026,Win-back,Percentage Discount,10,27.5,1,1,0,0,
CAMP00310,C0795,08-11-2025,Festival,Percentage Discount,25,30.75,1,1,0,0,
CAMP00311,C0459,04-01-2026,Festival,Percentage Discount,20,29,1,1,1,0,
CAMP00312,C0965,16-10-2025,New Product,Free Item,1,23,1,1,1,0,
CAMP00313,C0462,28-02-2026,Loyalty,Points,100,16,1,1,0,0,
CAMP00314,C0960,04-03-2025,New Product,Free Item,1,23,1,1,1,0,
CAMP00315,C0169,07-08-2026,Birthday,Percentage Discount,20,22,1,1,0,0,
CAMP00316,C0528,01-07-2026,New Product,Free Item,1,23,1,1,0,0,
